"1","Substance Abuse/Addiction Counseling"
"2","Child Abuse Pediatrics Residency Program"
"3","Accounting"
"4","Accounting and Finance"
"5","Accounting and Business/Management"
"6","Actuarial Science"
"7","Acting"
"8","Accounting and Computer Science"
"9","Acupuncture and Oriental Medicine"
"10","Purchasing, Procurement/Acquisitions and Contracts Management"
"11","Accounting Technology/Technician and Bookkeeping"
"12","Acoustics"
"13","Accounting and Related Services"
"14","Leisure and Recreational Activities"
"15","Citizenship Activities"
"16","Vehicle and Vehicle Parts and Accessories Marketing Operations"
"17","Apparel and Accessories Marketing Operations"
"18","Military Engineering Acoustics"
"19","Business Administration and Management, General"
"20","Human Resources Management/Personnel Administration, General"
"21","Advertising"
"22","Public Administration"
"23","Hospitality Administration/Management"
"24","Health/Health Care Administration/Management"
"25","Computer/Information Technology Administration and Management"
"26","Educational Leadership and Administration, General"
"27","Sport and Fitness Administration/Management"
"28","Hotel/Motel Administration/Management"
"29","Business Administration, Management and Operations"
"30","Higher Education/Higher Education Administration"
"31","Adult and Continuing Education and Teaching"
"32","Network and System Administration/Administrator"
"33","Commercial and Advertising Art"
"34","Health Services Administration"
"35","Administrative Assistant and Secretarial Science, General"
"36","Small Business Administration/Management"
"37","Legal Administrative Assistant/Secretary"
"38","Nursing Administration"
"39","Aerospace, Aeronautical and Astronautical Engineering"
"40","Aerospace, Aeronautical and Astronautical/Space Engineering"
"41","Aeronautics/Aviation/Aerospace Science and Technology, General"
"42","Aesthetician/Esthetician and Skin Care Specialist"
"43","Aeronautical/Aerospace Engineering Technology/Technician"
"44","Aerospace Physiology and Medicine"
"45","Aerospace Ground Equipment Technology"
"46","Master Aesthetician/Esthetician"
"47","Aerospace Medicine Residency Program"
"48","International Relations and Affairs"
"49","Urban Studies/Affairs"
"50","African Studies"
"51","African-American/Black Studies"
"52","Pharmacy Administration and Pharmacy Policy and Regulatory Affairs"
"53","African Languages, Literatures, and Linguistics"
"54","Agriculture, Agriculture Operations, and Related Sciences"
"55","Agricultural Economics"
"56","Agronomy and Crop Science"
"57","Agricultural Engineering"
"58","Agricultural Business and Management"
"59","Agribusiness/Agricultural Business Operations"
"60","Agricultural Communication/Journalism"
"61","Agriculture, General"
"62","Agroecology and Sustainable Agriculture"
"63","Agricultural Mechanization"
"64","Adult Development and Aging"
"65","Soil Science and Agronomy, General"
"66","International Agriculture"
"67","Agricultural and Horticultural Plant Breeding"
"68","Agricultural Animal Breeding"
"69","Agricultural Mechanics and Equipment/Machine Technology"
"70","Agricultural and Food Products Processing"
"71","Agricultural Business Technology"
"72","Agricultural Teacher Education"
"73","Agricultural and Extension Education Services"
"74","Aviation/Airway Management and Operations"
"75","Airline/Commercial/Professional Pilot and Flight Crew"
"76","Air Traffic Controller"
"77","Airframe Mechanics and Aircraft Maintenance Technology/Technician"
"78","Air Transportation"
"79","Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
"80","Air and Space Operations Technology"
"81","Aircraft Armament Systems Technology"
"82","Air Force JROTC/ROTC"
"83","Teacher Assistant/Aide"
"84","Teaching Assistants/Aides"
"85","Air Science/Airpower Studies"
"86","Home Health Aide/Home Attendant"
"87","Aircraft Powerplant Technology/Technician"
"88","Air Force ROTC, Air Science and Operations"
"89","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician"
"90","Medication Aide"
"91","Health Aide"
"92","Nursing Assistant/Aide and Patient Care Assistant/Aide"
"93","Rehabilitation Aide"
"94","Health Services/Allied Health/Health Sciences, General"
"95","Clinical/Medical Laboratory Science/Research and Allied Professions"
"96","Alternative and Complementary Medicine and Medical Systems"
"97","Algebra and Number Theory"
"98","Mental and Social Health Services and Allied Professions"
"99","Albanian Language and Literature"
"100","Ural-Altaic and Central Asian Studies"
"101","Allergy and Immunology Residency Program"
"102","Alternative and Complementary Medical Support Services"
"103","Ophthalmic and Optometric Support Services and Allied Professions"
"104","Allied Health Diagnostic, Intervention, and Treatment Professions"
"105","Allied Health and Medical Assisting Services"
"106","Dental Support Services and Allied Professions"
"107","Alternative Fuel Vehicle Technology/Technician"
"108","Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics"
"109","Slavic, Baltic and Albanian Languages, Literatures, and Linguistics"
"110","American/United States Studies/Civilization"
"111","American History (United States)"
"112","Latin American Studies"
"113","American Government and Politics (United States)"
"114","American Sign Language"
"115","Hispanic and Latin American Languages, Literatures, and Linguistics, General"
"116","Asian-American Studies"
"117","American/U.S. Law/Legal Studies/Jurisprudence"
"118","American Indian/Native American Studies"
"119","Latin American and Caribbean Studies"
"120","Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies"
"121","American Sign Language (ASL)"
"122","American Indian/Native American Languages, Literatures, and Linguistics"
"123","Indian/Native American Education"
"124","Emergency Care Attendant (EMT Ambulance)"
"125","American Citizenship Education"
"126","American Literature (Canadian)"
"127","American Literature (United States)"
"128","Electrical and Electronics Engineering"
"129","English Language and Literature/Letters"
"130","Political Science and Government"
"131","Computer and Information Sciences and Support Services"
"132","Communication and Media Studies"
"133","Electrical, Electronics and Communications Engineering"
"134","Liberal Arts and Sciences/Liberal Studies"
"135","Computer Systems Networking and Telecommunications"
"136","Criminal Justice and Corrections"
"137","Business, Management, Marketing, and Related Support Services"
"138","English Literature (British and Commonwealth)"
"139","Human Resources Management and Services"
"140","Mathematics and Computer Science"
"141","Finance and Financial Management Services"
"142","Industrial and Product Design"
"143","Elementary Education and Teaching"
"144","Computer Programming, Specific Applications"
"145","Design and Applied Arts"
"146","Fashion/Apparel Design"
"147","Applied Mathematics"
"148","Engineering Physics/Applied Physics"
"149","Applied Economics"
"150","Apparel and Textiles"
"151","Computer Software and Media Applications"
"152","Applied Psychology"
"153","Applied Linguistics"
"154","Public/Applied History"
"155","Computational and Applied Mathematics"
"156","Public Relations, Advertising, and Applied Communication"
"157","Applied Behavior Analysis"
"158","Data Entry/Microcomputer Applications"
"159","Apparel and Textile Manufacture"
"160","Applied and Professional Ethics"
"161","Apparel and Textile Marketing Management"
"162","Military Technologies and Applied Sciences"
"163","Clinical, Counseling and Applied Psychology"
"164","Aquatic Biology/Limnology"
"165","Aquaculture"
"166","Architecture"
"167","Art/Art Studies, General"
"168","Fine/Studio Arts, General"
"169","Art History, Criticism and Conservation"
"170","Landscape Architecture"
"171","Culinary Arts/Chef Training"
"172","Drama and Dramatics/Theatre Arts, General"
"173","Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology"
"174","Architectural Engineering"
"175","Naval Architecture and Marine Engineering"
"176","Architectural and Building Sciences/Technology"
"177","Arts, Entertainment, and Media Management"
"178","Interior Architecture"
"179","Artificial Intelligence"
"180","Military Operational Art and Science/Studies"
"181","Visual and Performing Arts"
"182","Art Therapy/Therapist"
"183","Legal Assistant/Paralegal"
"184","Computer and Information Systems Security/Information Assurance"
"185","Medical/Clinical Assistant"
"186","Physician Assistant"
"187","Teaching English as a Second or Foreign Language/ESL Language Instructor"
"188","Asian Studies/Civilization"
"189","Astrophysics"
"190","Astronomy"
"191","East Asian Studies"
"192","Veterinary/Animal Health Technology/Technician and Veterinary Assistant"
"193","Medical/Health Management and Clinical Assistant/Specialist"
"194","Dental Assisting/Assistant"
"195","Executive Assistant/Executive Secretary"
"196","Medical Administrative/Executive Assistant and Medical Secretary"
"197","Pharmacy Technician/Assistant"
"198","Medical Office Assistant/Specialist"
"199","Athletic Training/Trainer"
"200","Atmospheric Sciences and Meteorology"
